GESTION;2018;;;;;;;
TYPE BUDGET;Comptes d'affectation spéciale;;;;;;;
Gestion du patrimoine immobilier de l'État;723;14;31;Dépenses de fonctionnement autres que celles de personnel;22 001 000;32 000 000;27 757 000;32 000 000
Gestion du patrimoine immobilier de l'État;723;14;51;Dépenses pour immobilisations corporelles de l’État;56 246 000;56 000 000;61 718 000;56 000 000
Participation de la France au désendettement de la Grèce;795;01;64;Transferts aux autres collectivités;;0;56 000 000;19 300 000
Participation de la France au désendettement de la Grèce;795;02;64;Transferts aux autres collectivités;183 000 000;148 000 000;183 000 000;148 000 000
Participations financières de l'État;731;01;73;Dépenses de participations financières;6 390 000 000;3 900 000 000;6 390 000 000;3 900 000 000
Participations financières de l'État;731;04;73;Dépenses de participations financières;10 000 000;0;10 000 000;0
Participations financières de l'État;731;05;31;Dépenses de fonctionnement autres que celles de personnel;100 000 000;100 000 000;100 000 000;100 000 000
Participations financières de l'État;732;01;73;Dépenses de participations financières;0;1 000 000 000;0;1 000 000 000
Pensions;741;01;22;Cotisations et contributions sociales;633 000 000;513 900 000;633 000 000;513 900 000
Pensions;741;01;23;Prestations sociales et allocations diverses;43 066 000 000;43 979 700 000;43 066 000 000;43 979 700 000
Pensions;741;01;31;Dépenses de fonctionnement autres que celles de personnel;200 000;400 000;200 000;400 000
Pensions;741;01;61;Transferts aux ménages;200 000;300 000;200 000;300 000
Pensions;741;01;64;Transferts aux autres collectivités;;1 400 000;;1 400 000
Pensions;741;02;22;Cotisations et contributions sociales;339 200 000;348 200 000;339 200 000;348 200 000
Pensions;741;02;23;Prestations sociales et allocations diverses;9 647 000 000;9 645 100 000;9 647 000 000;9 645 100 000
Pensions;741;02;31;Dépenses de fonctionnement autres que celles de personnel;300 000;300 000;300 000;300 000
Pensions;741;03;22;Cotisations et contributions sociales;50 000;;50 000;
Pensions;741;03;23;Prestations sociales et allocations diverses;138 700 000;137 450 000;138 700 000;137 450 000
Pensions;741;03;31;Dépenses de fonctionnement autres que celles de personnel;50 000;50 000;50 000;50 000
Pensions;742;01;23;Prestations sociales et allocations diverses;1 821 000 000;1 845 700 000;1 821 000 000;1 845 700 000
Pensions;742;03;23;Prestations sociales et allocations diverses;2 455 000;690 000;2 455 000;690 000
Pensions;742;04;31;Dépenses de fonctionnement autres que celles de personnel;7 681 000;7 567 000;7 681 000;7 567 000
Pensions;742;05;23;Prestations sociales et allocations diverses;56 652 000;67 024 000;56 652 000;67 024 000
Pensions;742;05;31;Dépenses de fonctionnement autres que celles de personnel;663 000;587 000;663 000;587 000
Pensions;743;01;61;Transferts aux ménages;749 263 500;744 700 000;749 263 500;744 700 000
Pensions;743;02;31;Dépenses de fonctionnement autres que celles de personnel;200 000;200 000;200 000;200 000
Pensions;743;02;61;Transferts aux ménages;1 147 150 000;1 074 000 000;1 147 150 000;1 074 000 000
Pensions;743;03;23;Prestations sociales et allocations diverses;16 000 000;16 000 000;16 000 000;16 000 000
Pensions;743;04;61;Transferts aux ménages;15 070 000;15 370 000;15 070 000;15 370 000
Pensions;743;05;31;Dépenses de fonctionnement autres que celles de personnel;7 000;7 600;7 000;7 600
Pensions;743;05;61;Transferts aux ménages;46 281;42 400;46 281;42 400
Pensions;743;06;31;Dépenses de fonctionnement autres que celles de personnel;390 000;370 000;390 000;370 000
Pensions;743;06;61;Transferts aux ménages;12 480 000;11 800 000;12 480 000;11 800 000
Pensions;743;07;31;Dépenses de fonctionnement autres que celles de personnel;15 600;16 500;15 600;16 500
Pensions;743;07;61;Transferts aux ménages;234 400;153 500;234 400;153 500
Services nationaux de transport conventionnés de voyageurs;785;01;62;Transferts aux entreprises;257 000 000;227 200 000;257 000 000;227 200 000
Services nationaux de transport conventionnés de voyageurs;785;01;63;Transferts aux collectivités territoriales;;73 200 000;;73 200 000
Services nationaux de transport conventionnés de voyageurs;785;02;31;Dépenses de fonctionnement autres que celles de personnel;1 000 000;1 500 000;1 000 000;1 500 000
Services nationaux de transport conventionnés de voyageurs;786;01;62;Transferts aux entreprises;100 000 000;81 300 000;100 000 000;81 300 000
Transition énergétique;764;01;62;Transferts aux entreprises;5 630 300 000;5 424 947 056;5 630 300 000;5 424 947 056
Transition énergétique;764;02;62;Transferts aux entreprises;0;17 900 000;0;17 900 000
Transition énergétique;764;03;62;Transferts aux entreprises;49 900 000;99 470 167;49 900 000;99 470 167
Transition énergétique;765;01;62;Transferts aux entreprises;1 228 000 000;1 622 000 000;1 228 000 000;1 622 000 000
Transition énergétique;765;03;62;Transferts aux entreprises;75 000 000;20 000 000;75 000 000;20 000 000
;;;;;;;;
