GESTION;2018;;;;;;;
TYPE BUDGET;Budget général;;;;;;;
;;;;; Données;;;
Administration générale et territoriale de l'État;307;5;23;Prestations sociales et allocations diverses;41 615;28 649;41 615;28 649
Administration générale et territoriale de l'État;307;5;31;Dépenses de fonctionnement autres que celles de personnel;127 322 561;111 694 409;112 450 974;107 906 562
Administration générale et territoriale de l'État;307;5;51;Dépenses pour immobilisations corporelles de l’État;46 388 218;49 402 653;45 947 875;48 869 608
Agriculture, alimentation, forêt et affaires rurales;149;21;31;Dépenses de fonctionnement autres que celles de personnel;232 621;239 200;232 585;239 200
Agriculture, alimentation, forêt et affaires rurales;149;21;62;Transferts aux entreprises;201 340 688;216 560 800;202 099 483;216 960 800
Agriculture, alimentation, forêt et affaires rurales;149;21;64;Transferts aux autres collectivités;2 811 476;2 450 000;2 811 476;2 450 000
Agriculture, alimentation, forêt et affaires rurales;149;22;62;Transferts aux entreprises;3 805 777;5 484 000;5 478 672;5 484 000
Agriculture, alimentation, forêt et affaires rurales;149;22;64;Transferts aux autres collectivités;9 000;;9 000;
Agriculture, alimentation, forêt et affaires rurales;149;23;61;Transferts aux ménages;29 655 397;23 600 000;29 623 029;23 600 000
Agriculture, alimentation, forêt et affaires rurales;149;23;62;Transferts aux entreprises;125 000 987;114 471 192;90 097 377;116 843 738
Agriculture, alimentation, forêt et affaires rurales;149;23;64;Transferts aux autres collectivités;115 800;;115 800;
Agriculture, alimentation, forêt et affaires rurales;149;24;31;Dépenses de fonctionnement autres que celles de personnel;40 000;40 000;40 000;40 000
Agriculture, alimentation, forêt et affaires rurales;149;24;51;Dépenses pour immobilisations corporelles de l’État;;200 000;;200 000
Agriculture, alimentation, forêt et affaires rurales;149;24;62;Transferts aux entreprises;367 646 233;372 050 000;358 366 855;449 064 767
Agriculture, alimentation, forêt et affaires rurales;149;24;64;Transferts aux autres collectivités;22 162 604;22 646 853;22 159 275;22 646 853
Agriculture, alimentation, forêt et affaires rurales;149;25;64;Transferts aux autres collectivités;915 852 757;480 392 865;915 852 375;480 392 865
Agriculture, alimentation, forêt et affaires rurales;149;26;31;Dépenses de fonctionnement autres que celles de personnel;389 227;385 781;388 802;385 032
Agriculture, alimentation, forêt et affaires rurales;149;26;32;Subventions pour charges de service public;190 265 898;190 194 429;190 265 898;190 194 429
Agriculture, alimentation, forêt et affaires rurales;149;26;51;Dépenses pour immobilisations corporelles de l’État;9 471 297;9 471 297;10 448 392;10 764 555
Agriculture, alimentation, forêt et affaires rurales;149;26;62;Transferts aux entreprises;43 250 936;17 800 000;49 131 705;44 054 085
Agriculture, alimentation, forêt et affaires rurales;149;26;63;Transferts aux collectivités territoriales;16 248 245;16 182 456;17 315 642;17 157 891
Agriculture, alimentation, forêt et affaires rurales;149;26;64;Transferts aux autres collectivités;8 893 894;8 857 340;8 884 228;8 847 998
Agriculture, alimentation, forêt et affaires rurales;149;27;31;Dépenses de fonctionnement autres que celles de personnel;8 000 000;308 000 000;8 000 000;308 000 000
Agriculture, alimentation, forêt et affaires rurales;149;27;32;Subventions pour charges de service public;264 926 608;243 719 785;264 926 608;243 719 785
Agriculture, alimentation, forêt et affaires rurales;149;27;62;Transferts aux entreprises;295 480;295 480;295 480;295 480
Agriculture, alimentation, forêt et affaires rurales;149;27;72;Dotations en fonds propres;11 338 576;38 801 387;11 338 576;38 801 387
Agriculture, alimentation, forêt et affaires rurales;149;28;31;Dépenses de fonctionnement autres que celles de personnel;2 547 767;13 000 000;2 547 767;13 000 000
Agriculture, alimentation, forêt et affaires rurales;149;28;61;Transferts aux ménages;36 259 130;30 000 000;36 259 130;30 000 000
Agriculture, alimentation, forêt et affaires rurales;149;28;62;Transferts aux entreprises;;2 300 000;;2 300 000
Agriculture, alimentation, forêt et affaires rurales;149;28;64;Transferts aux autres collectivités;6 035 703;;6 035 703;
Agriculture, alimentation, forêt et affaires rurales;206;1;31;Dépenses de fonctionnement autres que celles de personnel;11 023 871;17 281 000;10 924 006;17 182 000
Agriculture, alimentation, forêt et affaires rurales;206;1;32;Subventions pour charges de service public;874 000;944 000;874 000;944 000
Agriculture, alimentation, forêt et affaires rurales;206;1;62;Transferts aux entreprises;1 448 463;1 650 000;1 349 343;1 555 000
Agriculture, alimentation, forêt et affaires rurales;206;1;63;Transferts aux collectivités territoriales;;270 000;;270 000
Agriculture, alimentation, forêt et affaires rurales;206;1;64;Transferts aux autres collectivités;12 174 666;11 726 000;12 172 651;11 765 000
Agriculture, alimentation, forêt et affaires rurales;206;2;31;Dépenses de fonctionnement autres que celles de personnel;64 700 294;61 883 695;63 175 836;61 363 695
Agriculture, alimentation, forêt et affaires rurales;206;2;32;Subventions pour charges de service public;2 976 392;5 132 000;2 480 037;4 298 000
Agriculture, alimentation, forêt et affaires rurales;206;2;61;Transferts aux ménages;;5 030 000;;5 030 000
Agriculture, alimentation, forêt et affaires rurales;206;2;62;Transferts aux entreprises;15 566 299;19 329 000;15 563 182;19 329 000
Agriculture, alimentation, forêt et affaires rurales;206;2;64;Transferts aux autres collectivités;8 999 948;9 560 000;8 998 244;9 559 000
Agriculture, alimentation, forêt et affaires rurales;206;3;31;Dépenses de fonctionnement autres que celles de personnel;9 331 605;11 077 500;9 329 506;11 054 500
Agriculture, alimentation, forêt et affaires rurales;206;3;32;Subventions pour charges de service public;3 977 461;2 822 500;3 976 560;2 822 500
Agriculture, alimentation, forêt et affaires rurales;206;3;62;Transferts aux entreprises;3 000 934;6 556 000;3 000 934;6 556 000
Agriculture, alimentation, forêt et affaires rurales;206;4;31;Dépenses de fonctionnement autres que celles de personnel;6 552 017;2 756 500;6 690 875;2 755 500
Agriculture, alimentation, forêt et affaires rurales;206;4;32;Subventions pour charges de service public;60 147 323;65 292 305;60 147 323;64 612 305
Agriculture, alimentation, forêt et affaires rurales;206;4;52;Dépenses pour immobilisations incorporelles de l’État;;6 500 000;;6 500 000
Agriculture, alimentation, forêt et affaires rurales;206;4;62;Transferts aux entreprises;1 405 892;;1 405 364;
Agriculture, alimentation, forêt et affaires rurales;206;4;63;Transferts aux collectivités territoriales;95 252;;95 217;
Agriculture, alimentation, forêt et affaires rurales;206;4;64;Transferts aux autres collectivités;793 839;1 684 000;793 545;1 399 000
Agriculture, alimentation, forêt et affaires rurales;206;5;32;Subventions pour charges de service public;4 266 000;3 300 000;3 869 000;3 800 000
Agriculture, alimentation, forêt et affaires rurales;206;6;21;Rémunérations d’activité;183 972 806;186 474 902;183 972 806;186 474 902
Agriculture, alimentation, forêt et affaires rurales;206;6;22;Cotisations et contributions sociales;110 945 482;129 482 955;110 945 482;129 482 955
Agriculture, alimentation, forêt et affaires rurales;206;6;23;Prestations sociales et allocations diverses;1 418 136;1 732 063;1 418 136;1 732 063
Agriculture, alimentation, forêt et affaires rurales;206;6;31;Dépenses de fonctionnement autres que celles de personnel;794 000;794 000;794 000;794 000
Agriculture, alimentation, forêt et affaires rurales;206;8;31;Dépenses de fonctionnement autres que celles de personnel;570 511;66 000;570 357;66 000
Agriculture, alimentation, forêt et affaires rurales;206;8;32;Subventions pour charges de service public;;225 500;;225 500
Agriculture, alimentation, forêt et affaires rurales;206;8;63;Transferts aux collectivités territoriales;;396 000;;396 000
Agriculture, alimentation, forêt et affaires rurales;206;8;64;Transferts aux autres collectivités;3 140 989;3 024 000;3 140 143;3 023 000
Agriculture, alimentation, forêt et affaires rurales;215;1;21;Rémunérations d’activité;107 626 390;106 770 102;107 626 390;106 770 102
Agriculture, alimentation, forêt et affaires rurales;215;1;22;Cotisations et contributions sociales;59 277 998;63 898 306;59 277 998;63 898 306
Agriculture, alimentation, forêt et affaires rurales;215;1;23;Prestations sociales et allocations diverses;1 032 068;1 054 611;1 032 068;1 054 611
Agriculture, alimentation, forêt et affaires rurales;215;1;31;Dépenses de fonctionnement autres que celles de personnel;37 880 011;33 718 908;36 813 947;37 721 157
Agriculture, alimentation, forêt et affaires rurales;215;1;32;Subventions pour charges de service public;1 025 000;;1 025 000;
Agriculture, alimentation, forêt et affaires rurales;215;1;61;Transferts aux ménages;130 000;1 150 000;130 000;1 150 000
Agriculture, alimentation, forêt et affaires rurales;215;2;21;Rémunérations d’activité;9 626 621;8 382 281;9 626 621;8 382 281
Agriculture, alimentation, forêt et affaires rurales;215;2;22;Cotisations et contributions sociales;4 409 410;3 884 647;4 409 410;3 884 647
Agriculture, alimentation, forêt et affaires rurales;215;2;23;Prestations sociales et allocations diverses;169 855;167 231;169 855;167 231
Agriculture, alimentation, forêt et affaires rurales;215;2;31;Dépenses de fonctionnement autres que celles de personnel;4 051 664;4 551 664;4 051 664;4 551 664
Agriculture, alimentation, forêt et affaires rurales;215;2;51;Dépenses pour immobilisations corporelles de l’État;;1 300 000;;1 300 000
Agriculture, alimentation, forêt et affaires rurales;215;3;21;Rémunérations d’activité;213 666 568;208 640 031;213 666 568;208 640 031
Agriculture, alimentation, forêt et affaires rurales;215;3;22;Cotisations et contributions sociales;129 104 047;130 315 392;129 104 047;130 315 392
Agriculture, alimentation, forêt et affaires rurales;215;3;23;Prestations sociales et allocations diverses;6 697 568;5 670 998;6 697 568;5 670 998
Agriculture, alimentation, forêt et affaires rurales;215;3;31;Dépenses de fonctionnement autres que celles de personnel;10 976 444;11 131 074;10 976 444;11 131 074
Agriculture, alimentation, forêt et affaires rurales;215;3;51;Dépenses pour immobilisations corporelles de l’État;200 000;;200 000;
Agriculture, alimentation, forêt et affaires rurales;215;4;21;Rémunérations d’activité;25 888 933;26 511 845;25 888 933;26 511 845
Agriculture, alimentation, forêt et affaires rurales;215;4;22;Cotisations et contributions sociales;14 548 460;13 506 364;14 548 460;13 506 364
Agriculture, alimentation, forêt et affaires rurales;215;4;23;Prestations sociales et allocations diverses;80 886;595 869;80 886;595 869
Agriculture, alimentation, forêt et affaires rurales;215;4;31;Dépenses de fonctionnement autres que celles de personnel;20 015 340;20 923 882;20 785 019;22 831 574
Agriculture, alimentation, forêt et affaires rurales;215;4;32;Subventions pour charges de service public;1 325 238;1 350 655;1 325 238;1 350 655
Agriculture, alimentation, forêt et affaires rurales;215;4;51;Dépenses pour immobilisations corporelles de l’État;5 443 521;6 224 410;4 773 521;6 360 018
Agriculture, alimentation, forêt et affaires rurales;215;4;61;Transferts aux ménages;26 916;;26 916;
Agriculture, alimentation, forêt et affaires rurales;215;4;63;Transferts aux collectivités territoriales;450 000;450 000;450 000;450 000
Aide publique au développement;110;1;64;Transferts aux autres collectivités;11 260 139;380 870 721;90 600 555;101 555 292
Aide publique au développement;110;1;73;Dépenses de participations financières;1 441 000 000;50 000 000;496 019 357;492 805 862
Aide publique au développement;110;2;31;Dépenses de fonctionnement autres que celles de personnel;7 180 000;7 080 000;7 180 000;7 080 000
Aide publique au développement;110;2;64;Transferts aux autres collectivités;352 820 000;402 550 000;268 637 509;255 921 153
Aide publique au développement;110;3;64;Transferts aux autres collectivités;;0;37 554 325;29 537 781
Aide publique au développement;110;3;73;Dépenses de participations financières;330 250 218;0;65 965 256;74 513 909
Aide publique au développement;209;2;31;Dépenses de fonctionnement autres que celles de personnel;36 017 133;34 768 022;36 017 133;34 768 022
Aide publique au développement;209;2;61;Transferts aux ménages;8 196 571;8 196 571;8 196 571;8 196 571
Aide publique au développement;209;2;62;Transferts aux entreprises;22 204 088;33 757 396;22 204 088;33 757 396
Aide publique au développement;209;2;63;Transferts aux collectivités territoriales;9 253 672;8 776 678;9 253 672;8 776 678
Aide publique au développement;209;2;64;Transferts aux autres collectivités;510 214 338;597 748 650;480 038 998;487 710 492
Aide publique au développement;209;5;31;Dépenses de fonctionnement autres que celles de personnel;350 000;350 000;6 063 261;6 063 261
Aide publique au développement;209;5;64;Transferts aux autres collectivités;150 064 041;144 745 739;150 064 041;144 745 739
Aide publique au développement;209;7;64;Transferts aux autres collectivités;742 451 124;849 852 395;742 451 124;849 852 395
Aide publique au développement;209;8;21;Rémunérations d’activité;147 830 467;125 414 012;147 830 467;125 414 012
Aide publique au développement;209;8;22;Cotisations et contributions sociales;33 725 358;36 249 621;33 725 358;36 249 621
Aide publique au développement;209;8;23;Prestations sociales et allocations diverses;2 943 799;2 754 348;2 943 799;2 754 348
Aide publique au développement;209;9;64;Transferts aux autres collectivités;215 700;;215 700;
Anciens combattants, mémoire et liens avec la nation;158;1;21;Rémunérations d’activité;1 202 783;1 204 329;1 202 783;1 204 329
Anciens combattants, mémoire et liens avec la nation;158;1;22;Cotisations et contributions sociales;540 937;541 633;540 937;541 633
Anciens combattants, mémoire et liens avec la nation;158;1;23;Prestations sociales et allocations diverses;10 006;10 019;10 006;10 019
Anciens combattants, mémoire et liens avec la nation;158;1;31;Dépenses de fonctionnement autres que celles de personnel;473 586;467 799;473 586;467 799
Anciens combattants, mémoire et liens avec la nation;158;1;61;Transferts aux ménages;44 216 786;44 191 084;44 216 786;44 191 084
Anciens combattants, mémoire et liens avec la nation;158;2;31;Dépenses de fonctionnement autres que celles de personnel;270 834;278 055;270 834;278 055
Anciens combattants, mémoire et liens avec la nation;158;2;61;Transferts aux ménages;54 085 540;54 107 754;54 085 540;54 107 754
Anciens combattants, mémoire et liens avec la nation;167;1;31;Dépenses de fonctionnement autres que celles de personnel;15 473 766;14 787 483;15 680 000;14 624 062
Anciens combattants, mémoire et liens avec la nation;167;1;64;Transferts aux autres collectivités;30 000;;30 000;
Anciens combattants, mémoire et liens avec la nation;167;2;31;Dépenses de fonctionnement autres que celles de personnel;5 500 000;5 000 000;5 500 000;5 000 000
Anciens combattants, mémoire et liens avec la nation;167;2;63;Transferts aux collectivités territoriales;;2 000 000;;2 000 000
Anciens combattants, mémoire et liens avec la nation;167;2;64;Transferts aux autres collectivités;17 086 600;21 200 000;17 086 600;21 200 000
Anciens combattants, mémoire et liens avec la nation;169;1;61;Transferts aux ménages;1 889 350 000;1 817 900 000;1 889 350 000;1 817 900 000
Anciens combattants, mémoire et liens avec la nation;169;2;31;Dépenses de fonctionnement autres que celles de personnel;4 700 000;6 100 000;4 700 000;6 100 000
Anciens combattants, mémoire et liens avec la nation;169;2;61;Transferts aux ménages;139 000 000;129 900 000;139 000 000;129 900 000
Anciens combattants, mémoire et liens avec la nation;169;3;32;Subventions pour charges de service public;68 890 632;71 450 945;68 890 632;71 450 945
Anciens combattants, mémoire et liens avec la nation;169;3;61;Transferts aux ménages;278 510 000;273 850 000;278 510 000;273 850 000
Anciens combattants, mémoire et liens avec la nation;169;3;64;Transferts aux autres collectivités;658 010;260 000;658 010;260 000
Anciens combattants, mémoire et liens avec la nation;169;3;72;Dotations en fonds propres;5 000 000;;;800 000
