"Mission";"Programme";"Action";"Catégorie_code";"Catégorie";"AEPLF";"CPPLF";"Type_budget";"Année"
"Administration générale et territoriale de l'État";232;3;23;"Prestations sociales et allocations diverses";188000;188000;"Budget général";2018
"Administration générale et territoriale de l'État";232;3;31;"Dépenses de fonctionnement autres que celles de personnel";1800000;2900000;"Budget général";2018
"Administration générale et territoriale de l'État";232;4;51;"Dépenses pour immobilisations corporelles de l’État";680000;700000;"Budget général";2018
"Administration générale et territoriale de l'État";232;4;63;"Transferts aux collectivités territoriales";1276037;1276037;"Budget général";2018
"Administration générale et territoriale de l'État";232;4;64;"Transferts aux autres collectivités";801000;801000;"Budget général";2018
"Administration générale et territoriale de l'État";232;5;31;"Dépenses de fonctionnement autres que celles de personnel";49490;49490;"Budget général";2018
"Administration générale et territoriale de l'État";232;5;52;"Dépenses pour immobilisations incorporelles de l’État";40400;40400;"Budget général";2018
"Administration générale et territoriale de l'État";232;5;64;"Transferts aux autres collectivités";NA;NA;"Budget général";2018
"Administration générale et territoriale de l'État";307;1;21;"Rémunérations d’activité";103705925;103705925;"Budget général";2018
"Administration générale et territoriale de l'État";307;1;22;"Cotisations et contributions sociales";67815910;67815910;"Budget général";2018
"Administration générale et territoriale de l'État";307;1;23;"Prestations sociales et allocations diverses";996328;996328;"Budget général";2018
"Administration générale et territoriale de l'État";307;2;21;"Rémunérations d’activité";407923410;407923410;"Budget général";2018
"Administration générale et territoriale de l'État";307;2;22;"Cotisations et contributions sociales";266546636;266546636;"Budget général";2018
"Administration générale et territoriale de l'État";307;2;23;"Prestations sociales et allocations diverses";3903895;3903895;"Budget général";2018
"Administration générale et territoriale de l'État";307;2;31;"Dépenses de fonctionnement autres que celles de personnel";9940177;9940177;"Budget général";2018
"Administration générale et territoriale de l'État";307;3;21;"Rémunérations d’activité";92212532;92212532;"Budget général";2018
"Administration générale et territoriale de l'État";307;3;22;"Cotisations et contributions sociales";60279790;60279790;"Budget général";2018
"Administration générale et territoriale de l'État";307;3;23;"Prestations sociales et allocations diverses";882756;882756;"Budget général";2018
"Administration générale et territoriale de l'État";307;4;21;"Rémunérations d’activité";302295256;302295256;"Budget général";2018
"Administration générale et territoriale de l'État";307;4;22;"Cotisations et contributions sociales";197158405;197158405;"Budget général";2018
"Administration générale et territoriale de l'État";307;4;23;"Prestations sociales et allocations diverses";2884831;2884831;"Budget général";2018
"Administration générale et territoriale de l'État";307;4;31;"Dépenses de fonctionnement autres que celles de personnel";8764677;8755403;"Budget général";2018
"Administration générale et territoriale de l'État";307;4;51;"Dépenses pour immobilisations corporelles de l’État";3075115;3075115;"Budget général";2018
"Administration générale et territoriale de l'État";307;5;21;"Rémunérations d’activité";2992698;2992698;"Budget général";2018
"Administration générale et territoriale de l'État";307;5;22;"Cotisations et contributions sociales";1956342;1956342;"Budget général";2018
"Administration générale et territoriale de l'État";307;5;23;"Prestations sociales et allocations diverses";28649;28649;"Budget général";2018
"Administration générale et territoriale de l'État";307;5;31;"Dépenses de fonctionnement autres que celles de personnel";111694409;107906562;"Budget général";2018
"Administration générale et territoriale de l'État";307;5;51;"Dépenses pour immobilisations corporelles de l’État";49402653;48869608;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;21;31;"Dépenses de fonctionnement autres que celles de personnel";239200;239200;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;21;62;"Transferts aux entreprises";216560800;216960800;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;21;64;"Transferts aux autres collectivités";2450000;2450000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;22;62;"Transferts aux entreprises";5484000;5484000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;22;64;"Transferts aux autres collectivités";NA;NA;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;23;61;"Transferts aux ménages";23600000;23600000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;23;62;"Transferts aux entreprises";114471192;116843738;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;23;64;"Transferts aux autres collectivités";NA;NA;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;24;31;"Dépenses de fonctionnement autres que celles de personnel";40000;40000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;24;51;"Dépenses pour immobilisations corporelles de l’État";200000;200000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;24;62;"Transferts aux entreprises";372050000;449064767;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;24;64;"Transferts aux autres collectivités";22646853;22646853;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;25;64;"Transferts aux autres collectivités";480392865;480392865;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;26;31;"Dépenses de fonctionnement autres que celles de personnel";385781;385032;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;26;32;"Subventions pour charges de service public";190194429;190194429;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;26;51;"Dépenses pour immobilisations corporelles de l’État";9471297;10764555;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;26;62;"Transferts aux entreprises";17800000;44054085;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;26;63;"Transferts aux collectivités territoriales";16182456;17157891;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;26;64;"Transferts aux autres collectivités";8857340;8847998;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;27;31;"Dépenses de fonctionnement autres que celles de personnel";308000000;308000000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;27;32;"Subventions pour charges de service public";243719785;243719785;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;27;62;"Transferts aux entreprises";295480;295480;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;27;72;"Dotations en fonds propres";38801387;38801387;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;28;31;"Dépenses de fonctionnement autres que celles de personnel";13000000;13000000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;28;61;"Transferts aux ménages";30000000;30000000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;28;62;"Transferts aux entreprises";2300000;2300000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";149;28;64;"Transferts aux autres collectivités";NA;NA;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;1;31;"Dépenses de fonctionnement autres que celles de personnel";17281000;17182000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;1;32;"Subventions pour charges de service public";944000;944000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;1;62;"Transferts aux entreprises";1650000;1555000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;1;63;"Transferts aux collectivités territoriales";270000;270000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;1;64;"Transferts aux autres collectivités";11726000;11765000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;2;31;"Dépenses de fonctionnement autres que celles de personnel";61883695;61363695;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;2;32;"Subventions pour charges de service public";5132000;4298000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;2;61;"Transferts aux ménages";5030000;5030000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;2;62;"Transferts aux entreprises";19329000;19329000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;2;64;"Transferts aux autres collectivités";9560000;9559000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;3;31;"Dépenses de fonctionnement autres que celles de personnel";11077500;11054500;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;3;32;"Subventions pour charges de service public";2822500;2822500;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;3;62;"Transferts aux entreprises";6556000;6556000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;4;31;"Dépenses de fonctionnement autres que celles de personnel";2756500;2755500;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;4;32;"Subventions pour charges de service public";65292305;64612305;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;4;52;"Dépenses pour immobilisations incorporelles de l’État";6500000;6500000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;4;62;"Transferts aux entreprises";NA;NA;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;4;63;"Transferts aux collectivités territoriales";NA;NA;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;4;64;"Transferts aux autres collectivités";1684000;1399000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;5;32;"Subventions pour charges de service public";3300000;3800000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;6;21;"Rémunérations d’activité";186474902;186474902;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;6;22;"Cotisations et contributions sociales";129482955;129482955;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;6;23;"Prestations sociales et allocations diverses";1732063;1732063;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;6;31;"Dépenses de fonctionnement autres que celles de personnel";794000;794000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;8;31;"Dépenses de fonctionnement autres que celles de personnel";66000;66000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;8;32;"Subventions pour charges de service public";225500;225500;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;8;63;"Transferts aux collectivités territoriales";396000;396000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";206;8;64;"Transferts aux autres collectivités";3024000;3023000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;1;21;"Rémunérations d’activité";106770102;106770102;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;1;22;"Cotisations et contributions sociales";63898306;63898306;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;1;23;"Prestations sociales et allocations diverses";1054611;1054611;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;1;31;"Dépenses de fonctionnement autres que celles de personnel";33718908;37721157;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;1;32;"Subventions pour charges de service public";NA;NA;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;1;61;"Transferts aux ménages";1150000;1150000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;2;21;"Rémunérations d’activité";8382281;8382281;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;2;22;"Cotisations et contributions sociales";3884647;3884647;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;2;23;"Prestations sociales et allocations diverses";167231;167231;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;2;31;"Dépenses de fonctionnement autres que celles de personnel";4551664;4551664;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;2;51;"Dépenses pour immobilisations corporelles de l’État";1300000;1300000;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;3;21;"Rémunérations d’activité";208640031;208640031;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;3;22;"Cotisations et contributions sociales";130315392;130315392;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;3;23;"Prestations sociales et allocations diverses";5670998;5670998;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;3;31;"Dépenses de fonctionnement autres que celles de personnel";11131074;11131074;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;3;51;"Dépenses pour immobilisations corporelles de l’État";NA;NA;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;4;21;"Rémunérations d’activité";26511845;26511845;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;4;22;"Cotisations et contributions sociales";13506364;13506364;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;4;23;"Prestations sociales et allocations diverses";595869;595869;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;4;31;"Dépenses de fonctionnement autres que celles de personnel";20923882;22831574;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;4;32;"Subventions pour charges de service public";1350655;1350655;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;4;51;"Dépenses pour immobilisations corporelles de l’État";6224410;6360018;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;4;61;"Transferts aux ménages";NA;NA;"Budget général";2018
"Agriculture, alimentation, forêt et affaires rurales";215;4;63;"Transferts aux collectivités territoriales";450000;450000;"Budget général";2018
"Aide publique au développement";110;1;64;"Transferts aux autres collectivités";380870721;101555292;"Budget général";2018
"Aide publique au développement";110;1;73;"Dépenses de participations financières";50000000;492805862;"Budget général";2018
"Aide publique au développement";110;2;31;"Dépenses de fonctionnement autres que celles de personnel";7080000;7080000;"Budget général";2018
"Aide publique au développement";110;2;64;"Transferts aux autres collectivités";402550000;255921153;"Budget général";2018
"Aide publique au développement";110;3;64;"Transferts aux autres collectivités";0;29537781;"Budget général";2018
"Aide publique au développement";110;3;73;"Dépenses de participations financières";0;74513909;"Budget général";2018
"Aide publique au développement";209;2;31;"Dépenses de fonctionnement autres que celles de personnel";34768022;34768022;"Budget général";2018
"Aide publique au développement";209;2;61;"Transferts aux ménages";8196571;8196571;"Budget général";2018
"Aide publique au développement";209;2;62;"Transferts aux entreprises";33757396;33757396;"Budget général";2018
"Aide publique au développement";209;2;63;"Transferts aux collectivités territoriales";8776678;8776678;"Budget général";2018
"Aide publique au développement";209;2;64;"Transferts aux autres collectivités";597748650;487710492;"Budget général";2018
"Aide publique au développement";209;5;31;"Dépenses de fonctionnement autres que celles de personnel";350000;6063261;"Budget général";2018
"Aide publique au développement";209;5;64;"Transferts aux autres collectivités";144745739;144745739;"Budget général";2018
"Aide publique au développement";209;7;64;"Transferts aux autres collectivités";849852395;849852395;"Budget général";2018
"Aide publique au développement";209;8;21;"Rémunérations d’activité";125414012;125414012;"Budget général";2018
"Aide publique au développement";209;8;22;"Cotisations et contributions sociales";36249621;36249621;"Budget général";2018
"Aide publique au développement";209;8;23;"Prestations sociales et allocations diverses";2754348;2754348;"Budget général";2018
"Aide publique au développement";209;9;64;"Transferts aux autres collectivités";NA;NA;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";158;1;21;"Rémunérations d’activité";1204329;1204329;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";158;1;22;"Cotisations et contributions sociales";541633;541633;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";158;1;23;"Prestations sociales et allocations diverses";10019;10019;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";158;1;31;"Dépenses de fonctionnement autres que celles de personnel";467799;467799;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";158;1;61;"Transferts aux ménages";44191084;44191084;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";158;2;31;"Dépenses de fonctionnement autres que celles de personnel";278055;278055;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";158;2;61;"Transferts aux ménages";54107754;54107754;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";167;1;31;"Dépenses de fonctionnement autres que celles de personnel";14787483;14624062;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";167;1;64;"Transferts aux autres collectivités";NA;NA;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";167;2;31;"Dépenses de fonctionnement autres que celles de personnel";5000000;5000000;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";167;2;63;"Transferts aux collectivités territoriales";2000000;2000000;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";167;2;64;"Transferts aux autres collectivités";21200000;21200000;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";169;1;61;"Transferts aux ménages";1817900000;1817900000;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";169;2;31;"Dépenses de fonctionnement autres que celles de personnel";6100000;6100000;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";169;2;61;"Transferts aux ménages";129900000;129900000;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";169;3;32;"Subventions pour charges de service public";71450945;71450945;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";169;3;61;"Transferts aux ménages";273850000;273850000;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";169;3;64;"Transferts aux autres collectivités";260000;260000;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";169;3;72;"Dotations en fonds propres";NA;800000;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";169;7;61;"Transferts aux ménages";17370000;17370000;"Budget général";2018
"Anciens combattants, mémoire et liens avec la nation";169;7;64;"Transferts aux autres collectivités";200000;200000;"Budget général";2018
"Cohésion des territoires";109;1;61;"Transferts aux ménages";13538131300;13538131300;"Budget général";2018
"Cohésion des territoires";109;2;64;"Transferts aux autres collectivités";8268700;8268700;"Budget général";2018
"Cohésion des territoires";109;3;62;"Transferts aux entreprises";9800000;9800000;"Budget général";2018
"Cohésion des territoires";112;1;31;"Dépenses de fonctionnement autres que celles de personnel";250000;250000;"Budget général";2018
"Cohésion des territoires";112;1;32;"Subventions pour charges de service public";5767842;5767842;"Budget général";2018
"Cohésion des territoires";112;1;62;"Transferts aux entreprises";9750000;20414558;"Budget général";2018
"Cohésion des territoires";112;1;63;"Transferts aux collectivités territoriales";40603838;66106658;"Budget général";2018
"Cohésion des territoires";112;1;64;"Transferts aux autres collectivités";3079000;3079000;"Budget général";2018
"Cohésion des territoires";112;2;63;"Transferts aux collectivités territoriales";98111047;125386225;"Budget général";2018
"Cohésion des territoires";112;2;64;"Transferts aux autres collectivités";2234000;2234000;"Budget général";2018
